station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
ITE00100554,1866-01-17,TMAX,13.4,56.120000000000005,1,ITE
ITE00100550,1866-01-17,TMAX,7.8,46.04,1,ITE
AGE00135039,1866-01-17,TMAX,15.0,59.0,1,AGE
BE000006447,1866-01-17,TMAX,8.3,46.94,1,BE
CA006110549,1866-01-17,TMAX,5.0,41.0,1,CA
EIE00101859,1866-01-17,TMAX,10.6,51.08,1,EIE
CA006153192,1866-01-17,TMAX,1.1,33.98,1,CA
CA006158350,1866-01-17,TMAX,0.0,32.0,1,CA
ASN00086071,1866-01-17,TMAX,25.9,78.62,1,ASN
CA006150689,1866-01-17,TMAX,0.0,32.0,1,CA
GME00125218,1866-01-17,TMAX,6.3,43.34,1,GME
ASN00066062,1866-01-18,TMAX,27.7,81.86,1,ASN
AU000005901,1866-01-18,TMAX,8.5,47.3,1,AU
GM000004204,1866-01-18,TMAX,10.3,50.540000000000006,1,GM
UK000047811,1866-01-18,TMAX,8.3,46.94,1,UK
SZ000006717,1866-01-18,TMAX,0.4,32.72,1,SZ
ASN00090015,1866-01-18,TMAX,18.9,66.02,1,ASN
UK000056225,1866-01-18,TMAX,9.9,49.82,1,UK
ITE00100554,1866-01-18,TMAX,8.2,46.76,1,ITE
USC00288878,1866-01-18,TMAX,5.0,41.0,1,USC
EZE00100082,1866-01-18,TMAX,8.1,46.58,1,EZE
CA006148100,1866-01-18,TMAX,-1.7,28.94,1,CA
AGE00135039,1866-01-18,TMAX,13.5,56.3,1,AGE
GME00125218,1866-01-18,TMAX,9.3,48.74,1,GME
CA006150689,1866-01-18,TMAX,-0.6,30.92,1,CA
ASN00086071,1866-01-18,TMAX,18.3,64.94,1,ASN
CA006158350,1866-01-18,TMAX,2.2,35.96,1,CA
ITE00100550,1866-01-18,TMAX,7.5,45.5,1,ITE
EIE00101859,1866-01-18,TMAX,10.0,50.0,1,EIE
CA006110549,1866-01-18,TMAX,2.2,35.96,1,CA
BE000006447,1866-01-18,TMAX,8.5,47.3,1,BE
CA006153192,1866-01-18,TMAX,5.6,42.08,1,CA
SZ000006717,1866-01-19,TMAX,0.4,32.72,1,SZ
ASN00066062,1866-01-19,TMAX,18.3,64.94,1,ASN
UK000056225,1866-01-19,TMAX,9.9,49.82,1,UK
ASN00090015,1866-01-19,TMAX,19.4,66.92,1,ASN
CA006148100,1866-01-19,TMAX,6.1,42.980000000000004,1,CA
USC00288878,1866-01-19,TMAX,6.7,44.06,1,USC
UK000047811,1866-01-19,TMAX,8.9,48.019999999999996,1,UK
GM000004204,1866-01-19,TMAX,10.6,51.08,1,GM
AU000005901,1866-01-19,TMAX,7.5,45.5,1,AU
ITE00100554,1866-01-19,TMAX,6.3,43.34,1,ITE
BE000006447,1866-01-19,TMAX,8.8,47.84,1,BE
GME00125218,1866-01-19,TMAX,9.6,49.28,1,GME
AGE00135039,1866-01-19,TMAX,13.5,56.3,1,AGE
CA006110549,1866-01-19,TMAX,2.8,37.04,1,CA
EIE00101859,1866-01-19,TMAX,10.6,51.08,1,EIE
CA006153192,1866-01-19,TMAX,3.3,37.94,1,CA
CA006158350,1866-01-19,TMAX,6.7,44.06,1,CA
ASN00086071,1866-01-19,TMAX,18.3,64.94,1,ASN
CA006150689,1866-01-19,TMAX,-0.6,30.92,1,CA
ITE00100550,1866-01-19,TMAX,7.3,45.14,1,ITE
EZE00100082,1866-01-19,TMAX,7.5,45.5,1,EZE
GM000004204,1866-01-20,TMAX,9.6,49.28,1,GM
ASN00066062,1866-01-20,TMAX,21.4,70.52,1,ASN
AU000005901,1866-01-20,TMAX,3.1,37.58,1,AU
UK000047811,1866-01-20,TMAX,8.9,48.019999999999996,1,UK
ITE00100554,1866-01-20,TMAX,6.0,42.8,1,ITE
CA006148100,1866-01-20,TMAX,8.9,48.019999999999996,1,CA
ASN00090015,1866-01-20,TMAX,20.6,69.08000000000001,1,ASN
SZ000006717,1866-01-20,TMAX,0.1,32.18,1,SZ
USC00288878,1866-01-20,TMAX,9.4,48.92,1,USC
EZE00100082,1866-01-20,TMAX,10.4,50.72,1,EZE
UK000056225,1866-01-20,TMAX,11.9,53.42,1,UK
AGE00135039,1866-01-20,TMAX,13.0,55.400000000000006,1,AGE
GME00125218,1866-01-20,TMAX,9.5,49.1,1,GME
CA006150689,1866-01-20,TMAX,8.3,46.94,1,CA
ASN00086071,1866-01-20,TMAX,21.7,71.06,1,ASN
CA006158350,1866-01-20,TMAX,6.7,44.06,1,CA
ITE00100550,1866-01-20,TMAX,3.2,37.76,1,ITE
EIE00101859,1866-01-20,TMAX,11.1,51.980000000000004,1,EIE
CA006110549,1866-01-20,TMAX,6.1,42.980000000000004,1,CA
BE000006447,1866-01-20,TMAX,10.1,50.18,1,BE
CA006153192,1866-01-20,TMAX,10.0,50.0,1,CA
AU000005901,1866-01-21,TMAX,0.3,32.54,1,AU
SZ000006717,1866-01-21,TMAX,-0.6,30.92,1,SZ
UK000056225,1866-01-21,TMAX,9.7,49.46,1,UK
ASN00090015,1866-01-21,TMAX,21.1,69.98,1,ASN
USC00288878,1866-01-21,TMAX,-5.0,23.0,1,USC
UK000047811,1866-01-21,TMAX,8.9,48.019999999999996,1,UK
GM000004204,1866-01-21,TMAX,10.6,51.08,1,GM
ASN00066062,1866-01-21,TMAX,21.4,70.52,1,ASN
ITE00100554,1866-01-21,TMAX,5.2,41.36,1,ITE
EZE00100082,1866-01-21,TMAX,9.8,49.64,1,EZE
GME00125218,1866-01-21,TMAX,10.0,50.0,1,GME
BE000006447,1866-01-21,TMAX,10.7,51.26,1,BE
EIE00101859,1866-01-21,TMAX,10.6,51.08,1,EIE
CA006158350,1866-01-21,TMAX,-9.4,15.079999999999998,1,CA
ASN00086071,1866-01-21,TMAX,25.5,77.9,1,ASN
ITE00100550,1866-01-21,TMAX,3.0,37.4,1,ITE
AU000005901,1866-01-22,TMAX,-1.0,30.2,1,AU
